route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,network_id
228A,RTD,228A,Lafayette / Louisville / Broomfield,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
228F,RTD,228F,Lafayette / Louisville / Broomfield,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
24,RTD,24,University Blvd,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
28,RTD,28,28th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
3,RTD,3,Alameda Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
30,RTD,30,South Federal Blvd,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
31,RTD,31,Federal Blvd ,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
32,RTD,32,West 32nd Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
323,RTD,323,Skyline Crosstown,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
324,RTD,324,Main Street Crosstown,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
326,RTD,326,Westside Crosstown,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
327,RTD,327,Eastside Crosstown,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
35,RTD,35,Hampden Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
36,RTD,36,Fort Logan,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
37,RTD,37,Smith Road Industrial,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
38,RTD,38,West 38th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
3L,RTD,3L,East Alameda Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
4,RTD,4,Morrison Road,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
40,RTD,40,Colorado Boulevard,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
402L,RTD,402L,Highlands Ranch Parkway,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
42,RTD,42,Montbello via Albrook/GVR,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
43,RTD,43,Martin Luther King Blvd,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
44,RTD,44,44th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
45,RTD,45,Montbello via 51st/GVR,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
46,RTD,46,South Dahlia,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
48,RTD,48,East 48th Avenue / Commerce City,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
483,RTD,483,Parker Road - Lincoln Ave,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
49,RTD,49,Denver/ Commerce City,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
51,RTD,51,Sheridan Blvd,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
52,RTD,52,W 52nd Avenue / South Bannock,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
520,RTD,520,Brighton,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
59,RTD,59,West Bowles,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
6,RTD,6,East 6th Avenue ,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
65,RTD,65,Monaco Parkway,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
66,RTD,66,Arapahoe Road,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
7,RTD,7,North Washington,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
72,RTD,72,72nd Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
73,RTD,73,Quebec Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
76,RTD,76,Wadsworth Blvd,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
8,RTD,8,North Broadway / Huron,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
83D,RTD,83D,Cherry Creek / Parker Rd Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
83L,RTD,83L,Cherry Creek / Parker Rd Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
88,RTD,88,Central Park/ 72nd Ave Station,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
88L,RTD,88L,Thornton/Commerce City Limited,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
9,RTD,9,West 10th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
92,RTD,92,92nd Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
93L,RTD,93L,N Colorado Blvd Limited,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
99,RTD,99,South Kipling Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
A,RTD,A,Union Station to Denver Airport Station,This Route Travels Eastbound & Westbound,2,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF,airport_network
AB1,RTD,AB1,Boulder / Denver Airport,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF,airport_network
AB2,RTD,AB2,Boulder / Denver Airport,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF,airport_network
AB3,RTD,AB3,Boulder / Denver Airport,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF,airport_network
ART,RTD,ART,Art District Connector,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
AT,RTD,AT,Arapahoe County / Denver Airport,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF,airport_network
ATA,RTD,ATA,Arapahoe County / Denver Airport,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF,airport_network
BOLT,RTD,BOLT,Boulder / Longmont,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
BOND,RTD,Bound,30th Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
CV,RTD,CV,Pine Junction / Conifer / Denver,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
DASH,RTD,DASH,Boulder / Lafayette via Louisville,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
EV,RTD,EV,Evergreen / Denver,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
FF1,RTD,FF1,Flatiron Flyer,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,1E4286,FFFFFF,standard_fare_network
FF2,RTD,FF2,Flatiron Flyer,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,1E4286,FFFFFF,standard_fare_network
FF3,RTD,FF3,Flatiron Flyer,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,1E4286,FFFFFF,standard_fare_network
FF4,RTD,FF4,Flatiron Flyer,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,1E4286,FFFFFF,standard_fare_network
FF5,RTD,FF5,Flatiron Flyer,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,1E4286,FFFFFF,standard_fare_network
FMR,RTD,MetroRide,Free MetroRide,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,00A19B,FFFFFF,free_ride_service
FREE,RTD,FreeRide,16th Street FreeRide,This Route Travels Civic Ctr & Union Stn,3,http://www.rtd-denver.com/Schedules.shtml,675DC6,FFFFFF,free_ride_service
GS,RTD,GS,Golden / Boulder,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
JUMP,RTD,JUMP,Boulder / Lafayette/ Erie,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
LD1,RTD,LD1,Longmont / Denver,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
LD3,RTD,LD3,Longmont / Denver,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
LX2,RTD,LX2,Longmont I-25 Express,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
NB1,RTD,NB1,Boulder/ Nederland/ Eldora,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
NB2,RTD,NB2,Boulder/ Nederland/ Eldora,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
PD,RTD,PD,Parker / Denver,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
RX,RTD,RX,Brighton / Denver Express,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF,standard_fare_network
SKIP,RTD,SKIP,Broadway,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF,standard_fare_network
